,property_id,region,city,location,property_type,furnishing_state,lease_term,availability,rent,deposit,beds,baths,size,pets,smoking,parking
130,19655,Brentwood,Calgary,3524 31 St. NW,Apartment,Unfurnished,Long Term,15-Dec-21,1388,$399 ,2 bd,1 ba,657 ft2,Cats & dogs negotiable,Non-smoking,Covered
129,19658,Fairview,Calgary,8208 Flint Rd SE,Apartment,Unfurnished,Long Term,15-Dec-21,1237,$399 ,2 bd,1 ba,864 ft2,Cats negotiable,Non-smoking,Covered
133,19662,Beltline,Calgary,349 14 Ave. SW,Apartment,Unfurnished,Long Term,Immediate,1064,$399 ,studio,1 ba,455 ft2,Cats & dogs negotiable,Non-smoking,Street
128,19663,Glamorgan,Calgary,71 Glamis Dr. SW,Apartment,Unfurnished,Long Term,15-Dec-21,1437,$399 ,2 bd,1 ba,848 ft2,Cats & dogs negotiable,Non-smoking,Covered
131,21358,Rundle,Calgary,2631 38 St. NE,Apartment,Unfurnished,Long Term,Immediate,1319,$399 ,2 bd,1 ba,820 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
116,27229,Greenview,Calgary,320 Grier Ave. NE,Apartment,Unfurnished,Long Term,Immediate,1269,$399 ,2 bd,1 ba,900 ft2,Cats & dogs negotiable,Non-smoking,Underground
118,27543,Thorncliffe,Calgary,6440 Centre St. NE,Townhouse,Unfurnished,Long Term,Immediate,1589,$399 ,3 bd,1 ba,982 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
126,29181,Lynnwood,Calgary,200 Lynnview Rd. SE,Townhouse,Unfurnished,Long Term,1-Dec-21,1449,$399 ,2 bd,1 ba,863 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
127,29358,Patterson Heights,Calgary,401 Patterson Hill SW,Apartment,Unfurnished,Long Term,15-Dec-21,996,$399 ,1 bd,1 ba,600 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
134,98021,Panorama Hills,Calgary,Panaroma Hills,Basement,Furnished,Negotiable,Immediate,950,1 Month Rent,1 bd,1 ba,,No pets,Non-smoking,Street
251,103052,Waskasoo,Red-Deer,4511 55 Street,Apartment,Unfurnished,Negotiable,Immediate,800,$800 ,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
161,142970,Southwood,Calgary,Southwood,Townhouse,Unfurnished,Long Term,Immediate,1200,"$1,200 ",2 bd,1.5 ba,1000 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
292,266749,Lower Townsite,Fort-Mcmurray,111 Charles Avenue,Apartment,Unfurnished,Negotiable,Immediate,850,$699 ,1 bd,1 ba,667 ft2,Cats & dogs negotiable,Smoking allowed,Outdoor
294,267087,Lower Townsite,Fort-Mcmurray,111 Charles Avenue,Apartment,Unfurnished,Negotiable,Immediate,1000,$699 ,2 bd,1 ba,848 ft2,Cats & dogs negotiable,Smoking allowed,Outdoor
90,273170,BC,Kelowna,420 Valley Road,Apartment,Unfurnished,Long Term,Immediate,1598,Half Monthly Rent,1 bd,1 ba,622 ft2,Cats & dogs allowed,Non-smoking,
228,288397,Lancaster Green,Red-Deer,2450A 22nd St,Apartment,Unfurnished,Long Term,Immediate,1308,$700 ,2 bd,1 ba,859 ft2,Cats & dogs allowed,Non-smoking,Street
165,288622,Kilkenny,Edmonton,7010 149 Ave. NW,Apartment,Unfurnished,Long Term,Immediate,1087,$299 ,2 bd,1 ba,825 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
203,288644,Athlone,Edmonton,13124 126 St. NW,Apartment,Unfurnished,Long Term,Immediate,934,$299 ,1 bd,1 ba,775 ft2,Cats & dogs negotiable,Non-smoking,Covered
169,288656,Strathcona,Edmonton,8920 100 St. NW,Apartment,Unfurnished,Long Term,Immediate,1090,$299 ,1 bd,1 ba,734 ft2,Cats negotiable,Non-smoking,Underground
211,288658,Cromdale,Edmonton,150-8930 Jasper Ave. NW,Apartment,Unfurnished,Long Term,Immediate,877,$299 ,1 bd,1 ba,736 ft2,Cats & dogs negotiable,Non-smoking,Underground
171,288663,Westbrook Estate,Edmonton,3624 119 St. NW,Apartment,Unfurnished,Long Term,Immediate,1127,$299 ,2 bd,1 ba,964 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
210,288667,Tweddle Place,Edmonton,2378 Millbourne Rd. W,Townhouse,Unfurnished,Long Term,Immediate,1117,$299 ,2 bd,1.5 ba,1075 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
168,288683,Bonnie Doon,Edmonton,8830 85 St. NW,Apartment,Unfurnished,Long Term,Immediate,999,$299 ,1 bd,1 ba,649 ft2,Cats negotiable,Non-smoking,Underground
304,288862,Lower Townsite,Fort-Mcmurray,10414 Main Street,Apartment,Unfurnished,Long Term,Immediate,1095,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
271,288863,Thickwood,Fort-Mcmurray,117 Stroud Bay,Apartment,Unfurnished,Long Term,Immediate,1060,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
297,288865,Lower Townsite,Fort-Mcmurray,6 Nixon Street,Apartment,Unfurnished,Long Term,Immediate,985,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
37,289157,BC,Victoria,827 Selkirk Avenue,Apartment,Unfurnished,Long Term,Call for Availability,1295,"$1,295 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
16,289165,Downtown,Victoria,1204 Yates Street,Apartment,Unfurnished,Long Term,Call for Availability,1095,"$1,095 ",studio,1 ba,,No pets,Smoking negotiable,Street
20,289166,BC,Victoria,243 Gorge Road East,Apartment,Unfurnished,Long Term,Call for Availability,1350,"$1,350 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
23,289167,BC,Victoria,425 Simcoe Street,Apartment,Unfurnished,Long Term,Call for Availability,1525,"$1,525 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
32,289168,BC,Victoria,830 Craigflower Road,Apartment,Unfurnished,Long Term,Call for Availability,1575,"$1,575 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
688,289169,NS,Halifax,2334 Longard Plaza,Apartment,Unfurnished,Long Term,Call for Availability,1095,"$1,095 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
673,289170,NS,Halifax,40 Charlotte Lane,Apartment,Unfurnished,Long Term,Call for Availability,1090,"$1,090 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
680,289171,NS,Halifax,1333 South Park Street,Apartment,Unfurnished,Long Term,Call for Availability,1250,"$1,250 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
686,289172,NS,Halifax,1030 South Park Street,Apartment,Unfurnished,Long Term,Call for Availability,1140,"$1,140 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
676,289173,NS,Halifax,2074 Robie Street,Apartment,Unfurnished,Long Term,Call for Availability,1345,"$1,345 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
532,289185,ON,Toronto,75 Eastdale Avenue,Apartment,Unfurnished,Long Term,Immediate,2625,"$2,625 ",4 bd,1 ba,,No pets,Smoking negotiable,Street
467,289198,ON,Mississauga,1055 Bloor Street,Apartment,Unfurnished,Long Term,Immediate,1990,"$1,990 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
463,289200,ON,Mississauga,1560 Bloor Street,Apartment,Unfurnished,Long Term,Immediate,2395,"$2,395 ",3 bd,1 ba,,No pets,Smoking negotiable,Street
522,289203,ON,Toronto,3420 Morning Star Drive,Apartment,Unfurnished,Long Term,Immediate,1995,"$1,995 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
465,289204,ON,Mississauga,2360 Bonner Road,Apartment,Unfurnished,Long Term,Immediate,1725,"$1,725 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
457,289206,ON,Mississauga,"2076, 2100 Sherobee Road",Apartment,Unfurnished,Long Term,Immediate,1795,"$1,795 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
539,289206,ON,Toronto,"2076, 2100 Sherobee Road",Apartment,Unfurnished,Long Term,Immediate,1795,"$1,795 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
